"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2509","Check SignUp button, signup url, error messages","FIREFOX","Mon Oct 13 08:21:36 UTC 2025","passed","Mon Oct 13 08:21:39 UTC 2025","","Telnyx Main (desktop tests)","",""
"","1289","Navigate to Products via dropdown (Desktop)","FIREFOX","Mon Oct 13 08:21:35 UTC 2025","passed","Mon Oct 13 08:21:36 UTC 2025","","Telnyx Main (desktop tests)","",""
"","7748","Search (Desktop)","FIREFOX","Mon Oct 13 08:21:39 UTC 2025","passed","Mon Oct 13 08:21:46 UTC 2025","","Telnyx Contact us","",""
"","211","Check Navigation menu in Header (Desktop)","FIREFOX","Mon Oct 13 08:21:33 UTC 2025","passed","Mon Oct 13 08:21:33 UTC 2025","","Telnyx Main (desktop tests)","",""
"","9272","Navigate to Contact us, check Talk to an expert text (Desktop)","FIREFOX","Mon Oct 13 08:21:46 UTC 2025","passed","Mon Oct 13 08:21:56 UTC 2025","","Telnyx Contact us","",""
"","867","Check footer columns and social media links (Desktop)","FIREFOX","Mon Oct 13 08:21:33 UTC 2025","passed","Mon Oct 13 08:21:34 UTC 2025","","Telnyx Main (desktop tests)","",""
"","711","Navigate to Pricing (Desktop)","FIREFOX","Mon Oct 13 08:21:34 UTC 2025","passed","Mon Oct 13 08:21:35 UTC 2025","","Telnyx Main (desktop tests)","",""
"","8","Open the app and check the Main page title","FIREFOX","Mon Oct 13 08:21:33 UTC 2025","passed","Mon Oct 13 08:21:33 UTC 2025","","Telnyx Main (desktop tests)","",""
"","732","Check Navigation menu in Header (Mobile)","CHROME","Mon Oct 13 08:21:41 UTC 2025","passed","Mon Oct 13 08:21:42 UTC 2025","","Telnyx Main (mobile tests)","",""
"","640","Check footer columns and social media links (Mobile)","CHROME","Mon Oct 13 08:21:42 UTC 2025","passed","Mon Oct 13 08:21:42 UTC 2025","","Telnyx Main (mobile tests)","",""
"","7915","Search (Desktop)","CHROME","Mon Oct 13 08:21:42 UTC 2025","passed","Mon Oct 13 08:21:50 UTC 2025","","Telnyx Contact us","",""
"","7185","Check SignUp button, signup url, error messages","CHROME","Mon Oct 13 08:21:32 UTC 2025","passed","Mon Oct 13 08:21:39 UTC 2025","","Telnyx Main (desktop tests)","",""
"","3035","Navigate to Pricing (Desktop)","CHROME","Mon Oct 13 08:21:27 UTC 2025","passed","Mon Oct 13 08:21:30 UTC 2025","","Telnyx Main (desktop tests)","",""
"","1814","Navigate to Products via dropdown (Desktop)","CHROME","Mon Oct 13 08:21:30 UTC 2025","passed","Mon Oct 13 08:21:32 UTC 2025","","Telnyx Main (desktop tests)","",""
"","580","Check Navigation menu in Header (Desktop)","CHROME","Mon Oct 13 08:21:25 UTC 2025","passed","Mon Oct 13 08:21:26 UTC 2025","","Telnyx Main (desktop tests)","",""
"","191","Open the app and check the Main page title","CHROME","Mon Oct 13 08:21:25 UTC 2025","passed","Mon Oct 13 08:21:25 UTC 2025","","Telnyx Main (desktop tests)","",""
"","2101","Navigate to Contact us, check Talk to an expert text (Desktop)","CHROME","Mon Oct 13 08:21:50 UTC 2025","passed","Mon Oct 13 08:21:52 UTC 2025","","Telnyx Contact us","",""
"","847","Check footer columns and social media links (Desktop)","CHROME","Mon Oct 13 08:21:26 UTC 2025","passed","Mon Oct 13 08:21:27 UTC 2025","","Telnyx Main (desktop tests)","",""
